#;TITLE;ARTIST;RELEASE;BPM;ENERGY;DANCE;LOUD;VALENCE;LENGTH;ACOUSTIC;POP.
1;A Lady Of A Certain Age;The Divine Comedy;27/10/2006;88;51;44;-11;39;5:50;80;12
2;"Common People - Full Length Version; Album Version";Pulp;1/1/2002;146;90;31;-5;49;5:50;1;57
3;Disco 2000;Pulp;30/10/1995;133;93;57;-6;54;4:34;1;55
4;Death II;Pulp;19/6/1992;124;55;72;-14;93;5:36;2;16
5;True Faith - '94;New Order;1/1/1994;118;91;61;-4;97;5:36;2;53
6;I Want The World To Stop;Belle & Sebastian;8/10/2010;150;79;59;-7;54;4:34;0;45
7;Another Sunny Day;Belle & Sebastian;2006;156;78;40;-5;85;4:04;0;50
8;All My Little Words;The Magnetic Fields;1999;106;52;48;-8;41;2:46;75;35
9;Where The Dreams Go To Die;John Grant;19/4/2010;115;34;48;-7;12;6:04;73;30
10;Queen Of Denmark;John Grant;19/4/2010;100;29;47;-9;38;4:49;77;32
11;Marz;John Grant;19/4/2010;120;38;53;-11;39;3:58;36;38
12;There Is A Light That Never Goes Out;The Smiths;14/7/2009;136;69;47;-10;83;4:03;1;48
13;Post Break-Up Sex;The Vaccines;11/3/2011;137;90;40;-4;56;2:54;0;56
14;Wetsuit;The Vaccines;11/3/2011;121;74;47;-6;24;3:50;0;54
15;I Always Knew;The Vaccines;31/8/2012;150;87;39;-3;39;3:34;0;51
16;Where Is My Mind?;Pixies;1997;82;60;51;-8;18;3:52;2;67
17;Observations;The Raveonettes;10/9/2012;123;65;43;-4;13;4:30;11;26
18;Be My Baby;The Ronettes;22/2/2011;130;77;51;-7;81;2:41;18;67
19;Helplessness Blues;Fleet Foxes;2/5/2011;125;46;33;-7;21;5:03;8;48
20;Crown Of Love;Arcade Fire;2004;103;65;32;-6;27;4:42;6;41
21;June Hymn;The Decemberists;12/1/2011;98;37;59;-6;18;3:58;53;30
22;I Spy;Pulp;30/10/1995;130;90;51;-7;17;5:55;0;30
23;Bloodbuzz Ohio;The National;22/11/2010;157;83;39;-6;67;4:36;6;57
24;Nantes;Beirut;8/10/2007;131;53;54;-10;65;3:50;79;57
25;The Mariner's Revenge Song;The Decemberists;2005;84;58;39;-5;47;8:46;25;0
26;San Francisco;Foxygen;2013;117;65;62;-8;88;3:48;25;7
27;Maps;Yeah Yeah Yeahs;1/1/2008;120;95;54;-6;21;3:34;0;40
28;Nightcall;Kavinsky;1/1/2013;91;84;54;-5;44;4:17;1;63
29;Holocene;Bon Iver;21/5/2011;148;31;38;-14;16;5:37;94;67
30;Jar of Hearts;Christina Perri;10/5/2011;75;35;35;-6;9;4:07;73;71
31;1973;James Blunt;17/9/2007;123;67;72;-8;76;4:40;7;63
32;Zombie;The Cranberries;1994;167;65;31;-9;32;5:06;2;69
33;What's Up?;4 Non Blondes;1/1/1992;135;57;57;-10;49;4:55;16;70
34;Sweet Dreams (Are Made of This);Eurythmics;10/12/2007;126;94;71;-3;67;3:32;4;60
35;God Help the Girl;God Help The Girl;22/6/2009;145;62;61;-10;76;3:23;25;31
36;Myth;Beach House;14/5/2012;142;71;45;-6;41;4:19;3;54
37;Zebra;The Magnetic Fields;1999;183;27;41;-7;48;2:16;77;14
38;La noy?e;Yann Tiersen;23/4/2001;139;21;53;-9;95;2:03;83;20
39;A Real Hero;College;11/1/2010;112;43;72;-9;37;4:28;83;0
40;Bulletproof;La Roux;2009;123;88;67;-3;66;3:26;0;59
41;Primadonna;Marina and the Diamonds;2011;128;69;66;-3;42;3:41;9;46
42;Littlest Things;Lily Allen;16/10/2012;164;34;56;-15;57;2:58;87;34
43;Ase Me Na Bo;Maraveyas ileg?l;18/12/2009;80;34;79;-10;79;3:22;42;27
44;To Kalokeri Efige;Maraveyas ileg?l;23/3/2012;96;61;60;-6;87;4:26;65;17
