#;TITLE;ARTIST;RELEASE;BPM;ENERGY;DANCE;LOUD;VALENCE;LENGTH;ACOUSTIC;POP.
1;Cold Water;Major Lazer;22/7/2016;93;80;60;-5;49;3:05;6;89
2;Closer;The Chainsmokers;29/7/2016;95;52;75;-6;64;4:05;41;86
3;Treat You Better;Shawn Mendes;3/6/2016;83;82;45;-4;72;3:08;13;89
4;Too Good;Drake;13/5/2016;118;65;80;-8;39;4:23;6;90
5;We Don't Talk Anymore (feat. Selena Gomez);Charlie Puth;29/1/2016;100;56;73;-8;35;3:38;62;86
6;Please Don't Go;Joel Adams;6/11/2015;84;77;51;-5;24;3:31;1;93
7;This Is What You Came For;Calvin Harris;29/4/2016;124;93;63;-3;46;3:42;20;100
8;Hymn For The Weekend - Seeb Remix;Coldplay;25/3/2016;102;85;56;-4;43;3:33;1;94
9;Into You;Ariana Grande;20/5/2016;108;73;64;-6;38;4:04;2;89
10;One Dance;Drake;13/5/2016;104;62;79;-6;38;2:54;1;95
11;Don't Let Me Down;The Chainsmokers;5/2/2016;160;87;53;-5;42;3:28;16;99
12;Kill Em With Kindness;Selena Gomez;9/10/2015;120;88;75;-5;34;3:38;1;87
13;Cheap Thrills;Sia;29/1/2016;90;70;63;-6;73;3:32;5;96
14;Ride;Twenty One Pilots;15/5/2015;75;71;65;-5;58;3:35;1;96
15;Capsize;FRENSHIP;15/4/2016;93;71;68;-6;36;3:58;4;93
16;All In My Head (Flex);Fifth Harmony;27/5/2016;95;79;69;-5;77;3:31;2;90
17;Starving;Hailee Steinfeld;22/7/2016;100;62;71;-4;52;3:02;39;76
18;Heathens;Twenty One Pilots;16/6/2016;90;40;73;-9;55;3:16;8;94
19;i hate u, i love u (feat. olivia o'brien);gnash;25/3/2016;93;28;49;-13;18;4:11;69;95
20;Cool Girl;Tove Lo;4/8/2016;102;72;67;-7;25;3:18;35;0
21;Send My Love (To Your New Lover);Adele;16/5/2016;164;52;69;-8;56;3:43;4;86
22;The Ocean;Mike Perry;15/4/2016;90;57;63;-6;23;3:03;2;95
23;Let Me Hold You (Turn Me On);Cheat Codes;13/4/2016;103;77;68;-3;29;2:42;10;87
24;Wherever I Go;OneRepublic;13/5/2016;100;70;55;-6;32;2:50;11;84
25;Let Me Love You;DJ Snake;5/8/2016;100;71;65;-5;15;3:26;8;0
26;Say It (feat. Tove Lo);Flume;21/4/2016;75;53;60;-7;28;4:23;7;82
27;Perfect Strangers;Jonas Blue;3/6/2016;118;81;74;-5;68;3:17;38;83
28;Final Song;M?;13/5/2016;105;67;70;-6;27;3:56;1;93
29;Don't Mind;Kent Jones;25/4/2016;159;77;46;-5;68;3:18;2;95
30;Body Say;Demi Lovato;1/7/2016;87;74;63;-5;27;3:14;1;83
31;Gold;Kiiara;26/10/2015;113;41;60;-9;41;3:46;62;81
32;You & Me;Marc E. Bassy;6/5/2016;85;65;69;-8;63;3:38;4;82
33;Hurts So Good;Astrid S;6/5/2016;120;61;67;-5;38;3:29;7;46
34;Needed Me;Rihanna;29/1/2016;111;33;69;-8;27;3:12;11;90
35;Toothbrush;DNCE;23/10/2015;104;78;50;-6;81;3:52;12;84
36;Work from Home;Fifth Harmony;27/5/2016;105;59;80;-6;59;3:34;10;95
37;Alarm;Anne-Marie;20/5/2016;147;59;76;-5;82;3:26;8;86
38;Once In A While;Timeflies;18/3/2016;105;69;79;-6;35;3:35;1;92
39;Light It Up (feat. Nyla & Fuse ODG) [Remix];Major Lazer;27/11/2015;108;88;75;-4;76;2:46;4;87
40;Never Be Like You (feat. Kai);Flume;16/1/2016;120;59;54;-4;25;3:55;45;84
41;Sit Still, Look Pretty;Daya;4/9/2015;182;77;66;-3;56;3:21;12;82
42;No Money;Galantis;1/4/2016;126;92;67;-4;80;3:09;3;96
43;Scars To Your Beautiful;Alessia Cara;13/11/2015;97;74;59;-6;44;3:50;3;70
44;Technically Single;Tayler Buono;1/7/2016;140;66;77;-5;24;3:19;19;81
45;"Can't Stop the Feeling! (Original Song from DreamWorks Animation's ""TROLLS"")";Justin Timberlake;6/5/2016;113;83;67;-6;72;3:56;1;98
46;This One's For You (feat. Zara Larsson) - Official Song UEFA EURO 2016;David Guetta;13/5/2016;110;92;37;-3;35;3:27;0;96
47;Make Me... (feat. G-Eazy);Britney Spears;15/7/2016;123;70;70;-7;59;3:51;16;84
48;Sex;Cheat Codes;5/2/2016;102;69;51;-6;21;3:48;0;83
49;Lush Life;Zara Larsson;9/6/2015;98;71;69;-4;79;3:21;13;92
50;Close;Nick Jonas;10/6/2016;124;62;67;-5;41;3:54;26;86
